PLAYER,TEAM,AGE,GP,MIN,W,L,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,SALARY
Aaron Brooks,MIN,33,32,5.9,19,13,2.3,0.9,2.2,0.3,1.0,0.3,0.3,0.2,0.3,0.6,0.3,0.2,0.0,2116955.0
Aaron Gordon,ORL,22,58,32.9,19,39,17.6,6.5,14.9,2.0,5.9,2.7,3.9,1.5,6.4,2.3,1.8,1.0,0.8,5504420.0
Abdel Nader,BOS,24,48,10.9,33,15,3.0,1.0,3.1,0.5,1.4,0.5,0.8,0.3,1.2,0.5,0.7,0.3,0.2,1167333.0
Al Horford,BOS,32,72,31.6,47,25,12.9,5.1,10.5,1.3,3.1,1.3,1.7,1.4,5.9,4.7,1.8,0.6,1.1,27734405.0
Al Jefferson,IND,33,36,13.4,17,19,7.0,3.1,5.8,0.0,0.1,0.8,1.0,0.8,3.1,0.8,0.6,0.4,0.6,9769821.0
Al-Farouq Aminu,POR,27,69,30.0,40,29,9.3,3.3,8.4,1.8,4.9,0.9,1.2,1.4,6.2,1.2,1.1,1.1,0.6,7319035.0
Alec Burks,UTA,26,64,16.5,37,27,7.7,2.7,6.5,0.7,2.2,1.7,1.9,0.3,2.7,1.0,0.9,0.6,0.1,10845506.0
Alex Abrines,OKC,24,75,15.1,42,33,4.7,1.5,3.9,1.1,2.9,0.5,0.6,0.3,1.2,0.4,0.3,0.5,0.1,5725000.0
Alex Poythress,IND,24,25,4.2,10,15,1.0,0.4,1.0,0.2,0.4,0.0,0.0,0.3,0.4,0.1,0.1,0.1,0.0,778668.0
Alfonzo McKinnie,TOR,25,14,3.8,13,1,1.5,0.6,1.1,0.2,0.6,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,815615.0
Amir Johnson,PHI,31,74,15.8,47,27,4.6,1.9,3.5,0.1,0.4,0.7,1.1,1.7,2.8,1.6,0.7,0.6,0.6,11000000.0
Andre Drummond,DET,24,78,33.7,37,41,15.0,6.0,11.3,0.0,0.1,3.1,5.1,5.1,10.9,3.0,2.6,1.5,1.6,23775506.0
Andre Iguodala,GSW,34,64,25.4,46,18,6.0,2.3,5.0,0.5,1.8,0.9,1.4,0.8,3.1,3.3,1.0,0.8,0.6,14814815.0
Andre Roberson,OKC,26,39,26.6,24,15,5.0,2.2,4.2,0.2,0.9,0.3,1.0,1.9,2.8,1.2,0.8,1.2,0.9,9259259.0
Andrew Bogut,LAL,33,24,9.0,7,17,1.5,0.7,1.0,0.0,0.0,0.1,0.1,1.1,2.2,0.6,0.8,0.2,0.5,2328652.0
Andrew Harrison,MEM,23,56,23.7,17,39,9.5,3.2,7.7,0.8,2.5,2.2,2.8,0.4,1.9,3.2,1.4,0.7,0.5,1312611.0
Andrew Wiggins,MIN,23,82,36.3,47,35,17.7,6.9,15.9,1.4,4.1,2.5,3.8,1.0,3.4,2.0,1.7,1.1,0.6,7574322.0
Ante Zizic,CLE,21,32,6.7,21,11,3.7,1.5,2.1,0.0,0.0,0.7,0.9,0.8,1.1,0.2,0.3,0.1,0.4,1645200.0
Anthony Davis,NOP,25,75,36.4,45,30,28.1,10.4,19.5,0.7,2.2,6.6,8.0,2.5,8.6,2.3,2.2,1.5,2.6,23775506.0
Antonius Cleveland,ATL,24,17,7.2,7,10,1.4,0.5,1.2,0.2,0.2,0.2,0.4,0.2,0.6,0.1,0.4,0.4,0.3,92160.0
Aron Baynes,BOS,31,81,18.3,54,27,6.0,2.6,5.5,0.0,0.3,0.7,1.0,1.6,3.8,1.1,1.0,0.3,0.6,4328000.0
Arron Afflalo,ORL,32,53,12.9,16,37,3.4,1.2,3.1,0.5,1.3,0.4,0.5,0.1,1.2,0.6,0.4,0.1,0.2,2328652.0
Austin Rivers,LAC,25,61,33.7,30,31,15.1,5.6,13.2,2.2,5.9,1.7,2.6,0.4,1.9,4.0,1.8,1.2,0.3,11825000.0
Avery Bradley,LAC,27,46,31.2,22,24,14.3,5.6,13.6,1.6,4.4,1.4,1.8,0.5,2.0,2.0,2.2,1.1,0.2,8808989.0
Bam Adebayo,MIA,20,69,19.8,34,35,6.9,2.5,4.9,0.0,0.1,1.9,2.6,1.7,3.8,1.5,1.0,0.5,0.6,2490360.0
Ben McLemore,MEM,25,56,19.5,7,49,7.5,2.8,6.7,1.0,2.8,0.9,1.1,0.6,1.9,0.9,1.1,0.7,0.3,5200000.0
Ben Simmons,PHI,21,81,33.7,51,30,15.8,6.7,12.3,0.0,0.1,2.4,4.2,1.8,6.3,8.2,3.4,1.7,0.9,6168840.0
Bismack Biyombo,ORL,25,82,18.2,25,57,5.7,2.2,4.3,0.0,0.0,1.2,1.9,1.8,4.0,0.8,1.0,0.3,1.2,17000000.0
Blake Griffin,DET,29,58,34.0,28,30,21.4,7.5,17.2,1.9,5.6,4.5,5.7,1.3,6.1,5.8,2.8,0.7,0.3,29512900.0
