,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
194,Alonzo Gee,POR,28,1,0,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,4
194,Bernard James,DAL,30,1,0,1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
194,Brendan Haywood,CLE,35,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Darius Morris,BKN,24,1,0,1,4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
194,Dwight Powell,DAL,23,2,0,2,1.3,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,1.4,0,0,1.5
194,Gerald Wallace,BOS,32,1,0,1,3.7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-5
194,Greg Smith,DAL,24,1,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,Jeff Ayres,SAS,28,3,1,2,4,0,0,0.3,0,0,0,0,0,1,1,0.7,0,0,0,0,2.2,0,0,1.7
194,Jerome Jordan,BKN,28,1,0,1,4.7,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,1.4,0,0,-4
194,Joel Freeland,POR,28,2,0,2,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,2.1,0,0,0.5
194,Mirza Teletovic,BKN,29,3,1,2,5.5,0,0,1.7,0,1.3,0,0,0,1.3,1.3,0,0.3,0.3,0,0.3,2.3,0,0,-3.3
194,Phil Pressey,BOS,24,2,0,2,2.5,0,0,1.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0.5,2.1,0,0,-0.5
194,Rasual Butler,WAS,36,2,2,0,3.7,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,1,1.4,0,0,-1.5
194,Russ Smith,MEM,24,2,0,2,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,1.5
194,Tim Frazier,POR,24,2,0,2,1.7,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,-0.5,0,0,2.5
193,Joey Dorsey,HOU,31,6,3,3,2.2,0.2,0,0.3,0,0,0.2,0.3,0.2,0.5,0.7,0.3,0.2,0,0,0.3,1.3,0,0,-1.3
191,Elton Brand,ATL,36,3,2,1,1.3,0.3,0,0.3,0,0,0.3,0.7,0,0.3,0.3,0,0,0,0,1,0.7,0,0,0
191,Shawn Marion,CLE,37,6,5,1,4.2,0.3,0.2,1,0,0,0,0,0.3,0.7,1,0.2,0,0.3,0,0.2,2.8,0,0,-0.2
190,Dahntay Jones,LAC,34,11,6,5,1.6,0.4,0.2,0.2,0,0,0,0,0,0.1,0.1,0,0,0.2,0,0.6,1,0,0,-0.4
189,Kostas Papanikolaou,HOU,24,8,4,4,2.6,0.4,0.1,0.5,0,0.4,0.1,0.3,0,0.3,0.3,0,0.6,0,0,0.5,0.1,0,0,-1.3
188,JaMychal Green,MEM,25,5,1,4,1.7,0.4,0,0.4,0,0.2,0.4,0.4,0,0.6,0.6,0,0,0.2,0.2,0.2,2.3,0,0,1.2
