,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPA,TPM,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
487,David Wear,SAC,24,2,0,2,3.5,0,0,1,0.5,0,0,0,1,0,0.5,0,0,0,0.5,2,0,0,-4.5
487,Jerrelle Benimon,DEN,23,2,2,0,1.4,0,0,0,0,0,0,0,0.5,1,0,0.5,0,0,0,1.3,0,0,3
487,Kalin Lucas,MEM,26,1,0,1,5.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,-7
487,Malcolm Lee,PHI,25,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
487,Ronny Turiaf,MIN,32,2,0,2,9.7,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,2.1,0,0,-4
487,Seth Curry,PHX,24,2,2,0,3.9,0,0,1.5,0.5,0,0,0,0,1,0.5,0,0,0,1,2,0,0,-2
486,Darius Miller,NOP,25,5,1,4,8.7,0.4,0.2,1.4,0.2,0,0,0,0,0.2,0.4,0.2,0.2,0,1.6,1.6,0,0,-2.4
485,Andrei Kirilenko,BKN,34,7,3,4,5.2,0.4,0,0.7,0,0,0.4,0.6,0.3,0.9,0.1,0.1,0.1,0,0.1,2.3,0,0,-4.1
484,Cameron Bairstow,CHI,24,18,12,6,3.5,0.6,0.2,0.8,0,0,0.2,0.3,0.3,0.1,0.1,0.2,0.1,0.1,0.4,1.5,0,0,-1.1
483,Dahntay Jones,LAC,34,33,23,10,3.7,0.6,0.2,0.6,0.1,0,0.3,0.3,0,0.3,0.1,0,0.1,0,0.7,1.4,0,0,-2.4
481,Eric Moreland,SAC,23,3,0,3,0.7,0.7,0.3,0.3,0,0,0,0,0,0.3,0,0,0,0,0.3,1.1,0,0,0.3
481,Sim Bhullar,SAC,22,3,1,2,0.9,0.7,0.3,0.7,0,0,0,0,0,0.3,0.3,0,0,0.3,0,2.6,0,0,0.3
480,Andre Dawkins,MIA,23,4,2,2,5.4,0.8,0.3,1.5,1.5,0.2505,0,0,0,0.5,0.3,0.3,0,0,0.8,1.5,0,0,-1
479,Alex Kirk,CLE,23,5,2,3,2.8,0.8,0.2,0.8,0,0,0.4,0.4,0.2,0,0.2,0,0,0,0.2,1.3,0,0,-2.8
478,Greg Stiemsma,TOR,29,17,13,4,3.9,0.8,0.4,0.5,0,0,0.1,0.2,0.5,0.4,0.2,0.4,0.1,0,0.9,2.1,0,0,-1.6
477,Ekpe Udoh,LAC,28,33,24,9,3.9,0.9,0.3,0.7,0,0,0.2,0.3,0.2,0.6,0.2,0.2,0.2,0.2,0.6,3.3,0,0,-0.3
476,Brandon Rush,GSW,29,33,27,6,8.2,0.9,0.3,1.6,0.8,0.0888,0.2,0.3,0.1,1.1,0.4,0.3,0.2,0.4,0.8,4.2,0,0,-3.8
474,Jamaal Franklin,DEN,23,3,1,2,4.4,1,0.3,0.7,0.7,0.35,0,0,0.3,0.3,1,1,0,0.3,1.3,3.3,0,0,-3
474,Lucas Nogueira,TOR,22,6,3,3,3.8,1,0.3,1.3,0,0,0.3,0.7,0.3,1.5,0.2,0.3,0.3,0,1,4.1,0,0,-1.8
473,Gerald Wallace,BOS,32,32,15,17,8.9,1.1,0.4,1.1,0.1,0.0333,0.2,0.5,0.5,1.3,0.3,0.6,0.5,0.1,0.6,5,0,0,0.9
472,Shavlik Randolph,PHX,31,21,11,10,6,1.1,0.4,1.7,0.2,0,0.3,0.6,0.8,1,0.2,0.1,0.2,0.1,0.8,4.6,0,0,-1.1
471,Nazr Mohammed,CHI,37,23,13,10,5.6,1.2,0.6,1.3,0,0,0,0.1,0.5,1.2,0.1,0.3,0.2,0.2,0.7,4.2,0,0,0.4
470,Toure' Murry,UTA,25,5,3,2,3.6,1.2,0.4,1,0,0,0.4,0.4,0.2,0,0.2,0.8,0.2,0,0.4,1.5,0,0,0
468,Bruno Caboclo,TOR,19,8,7,1,2.9,1.3,0.5,1.5,0.4,0.2668,0,0,0.1,0.1,0,0.5,0,0.1,0.4,1.4,0,0,-3.4
468,Ognjen Kuzmic,GSW,25,16,13,3,4.5,1.3,0.5,0.8,0,0,0.3,0.3,0.4,0.6,0.4,0.3,0.1,0.1,0.8,3.3,0,0,-2.4
465,Gal Mekel,DAL,27,4,2,2,10.9,1.5,0.8,5,0.8,0,0,0,0,0.3,3.3,0.5,0.5,0,0.3,7.7,0,0,0.5
465,Jerel McNeal,PHX,28,6,1,5,6.1,1.5,0.5,1.8,0.3,0.15,0.3,0.3,0,0.5,0.3,0.8,0.5,0.2,0.8,3.8,0,0,-0.5
465,Patrick Christopher,MEM,27,4,2,2,7.2,1.5,0.8,3,1,0,0,0,0.5,1,0,0.3,0.3,0,1.5,3.8,0,0,-4.5
464,Cartier Martin,DET,30,23,7,16,8.6,1.6,0.7,2.3,1.4,0.2548,0,0,0,0.9,0.5,0.2,0.1,0,0.9,3.6,0,0,0.9
463,Chris Douglas-Roberts,LAC,28,12,5,7,8.5,1.6,0.4,1.8,0.6,0.0858,0.7,0.7,0.1,0.9,0.3,0,0.1,0,1.2,3.5,0,0,-1.3
462,Brendan Haywood,CLE,35,22,14,8,5.4,1.6,0.6,1.4,0,0,0.3,0.6,0.3,1,0.1,0.5,0.1,0.5,0.8,4.5,0,0,-2.3
461,Miroslav Raduljica,MIN,27,5,0,5,4.6,1.6,0.6,1.6,0,0,0.4,0.4,0.4,0.6,0,0.4,0.2,0,1.6,3,0,0,-0.6
460,Jack Cooley,UTA,24,16,10,6,5.4,1.7,0.6,1.4,0,0,0.6,1.3,0.6,0.9,0.1,0.2,0.4,0.2,1.4,5.2,0,0,-0.3
459,Chuck Hayes,TOR,32,29,17,12,8.8,1.7,0.8,1.6,0,0,0.2,0.4,0.6,1.1,0.7,0.3,0.3,0.1,1.3,6,0,0,1.3
458,Zoran Dragic,MIA,26,16,6,10,4.7,1.8,0.7,1.9,0.9,0.1926,0.2,0.3,0.3,0.2,0.3,0.3,0.1,0,0.4,2.9,0,0,-0.9
457,Landry Fields,TOR,27,26,16,10,8.3,1.8,0.8,1.6,0.1,0.05,0.2,0.2,0.4,0.6,0.6,0.3,0.4,0,0.3,4.8,0,0,-3
456,Joel Anthony,DET,32,49,25,24,8.3,1.8,0.7,1.3,0,0,0.3,0.4,0.7,1.2,0.1,0.2,0.2,1,1.1,7.7,0,0,0.2
455,Steve Novak,OKC,32,35,12,23,5.6,1.8,0.6,1.6,1.4,0.5544,0,0.1,0.1,0.6,0.3,0.1,0,0.1,0.7,3.1,0,0,-1.5
454,Kenyon Martin,MIL,37,11,7,4,9.5,1.8,0.8,2,0,0,0.2,0.2,0.5,1.2,0.5,0.3,0.5,0.5,1.2,7.3,0,0,-0.8
453,Jared Cunningham,LAC,24,19,12,7,4.7,1.8,0.6,1.7,0.7,0.2156,0.4,0.7,0.1,0.4,0.5,0.4,0.2,0,0.6,3.3,0,0,-0.3
452,Reggie Williams,SAS,28,20,15,5,5.3,1.9,0.8,2,1,158,0.2,0.2,0.3,0.6,0.5,0.1,0.1,0,0.6,3.7,0,0,-1.8
451,Will Cherry,TOR,24,8,6,2,8.7,1.9,0.6,2.4,1.1,0.2442,0.4,0.8,0.1,0.5,1,0.5,0.8,0.1,1.3,6.3,0,0,-0.9
450,Drew Gordon,PHI,24,9,0,9,7.9,1.9,0.9,2.1,0.3,0,0.1,0.2,0.8,1.2,0.2,0.9,0.1,0,0.8,4.1,0,0,-3.8
449,Ian Clark,DEN,24,30,9,21,6.4,1.9,0.6,1.8,1,333,0.3,0.3,0.1,0.4,0.4,0.3,0.3,0.1,0.7,4,0,0,-1.4
448,Greg Smith,DAL,24,42,27,15,8.6,1.9,0.7,1.2,0,0,0.5,0.9,0.6,1.3,0.2,0.3,0.2,0.3,1.3,5.5,0,0,-0.6
447,Reggie Bullock,PHX,24,36,19,17,9.4,1.9,0.7,1.9,1.3,0.4238,0.2,0.3,0,1.4,0.2,0.2,0.3,0.1,0.5,4.9,0,0,-0.1
446,DeJuan Blair,WAS,26,29,15,14,6.2,1.9,0.9,2,0,0,0.1,0.2,0.6,1.4,0.1,0.4,0.2,0,1.4,4.8,0,0,-2.1
445,CJ Wilcox,LAC,24,21,15,6,4.8,2,0.8,1.8,0.9,0.3312,0.1,0.1,0,0.3,0.4,0.5,0.1,0,0.3,3,0,0,-0.9
439,Earl Barron,PHX,33,16,5,11,8.9,2,0.8,2.4,0.3,0.15,0.4,0.8,0.9,0.9,0.3,0.3,0.3,0.1,1.6,5.4,0,0,-3.6
439,Grant Jerrett,UTA,21,8,6,2,6.4,2,0.9,3.3,1.9,0.1273,0.1,0.1,0.3,0.9,0.4,0.4,0.3,0.3,1.4,5,0,0,-2.5
439,John Salmons,NOP,35,21,9,12,12.8,2,0.8,2.3,1.2,0.3696,0.1,0.2,0.2,0.8,0.6,0.2,0.4,0.2,1.2,5.7,0,0,-3
439,Julius Randle,LAL,20,1,0,1,13.6,2,1,3,0,0,0,2,0,0,0,1,0,0,1,1,0,0,-18
439,Nate Wolters,MIL,24,21,14,7,11.7,2,1,2.7,0.3,0,0.1,0.3,0.4,1.2,1,0.6,0.4,0.1,0.9,6.3,0,0,-0.6
439,Tyrus Thomas,MEM,28,2,2,0,3.3,2,0.5,0.5,0,0,1,1,0,0,0.5,0,0,0,0,2.8,0,0,0.5
438,Glenn Robinson III,PHI,21,35,2,33,7.5,2.1,0.7,1.9,0.5,0.1315,0.5,0.7,0.4,0.7,0.3,0.3,0.2,0,0.4,4.2,0,0,0.8
437,Mike Miller,CLE,35,52,31,21,13.5,2.1,0.7,2.2,1.9,0.6213,0.1,0.1,0.1,1.7,0.9,0.4,0.3,0.1,1.4,6.1,0,0,-1.4
436,Darius Morris,BKN,24,38,14,24,7.9,2.2,0.9,2.8,0.9,0.1908,0.1,0.2,0.2,0.5,1.3,0.6,0.2,0,0.5,5.1,0,0,-1.7
435,Glen Rice,WAS,24,5,4,1,8.5,2.2,0.6,3,1.4,0.2002,0.8,1.2,0.4,0.4,0.4,0.4,0,0,2.2,3.4,0,0,-4.4
434,Xavier Henry,LAL,24,9,1,8,9.5,2.2,0.3,1.4,0,0,1.6,2.7,0.2,0.2,0.3,0.3,0.3,0,0.7,3.9,0,0,1.6
433,Kyle Anderson,SAS,21,33,22,11,10.9,2.2,0.9,2.7,0.3,0.0819,0.3,0.4,0.2,2,0.8,0.3,0.5,0.2,0.8,7.8,0,0,-1.1
432,Furkan Aldemir,PHI,23,41,9,32,13.2,2.3,1,1.9,0.1,0,0.3,0.7,1.9,2.4,0.7,0.4,0.4,0.4,2.3,10.4,1,0,-2.5
431,Devyn Marble,ORL,22,16,3,13,13,2.3,0.9,2.8,1.4,0.2548,0.3,1,0.3,1.6,1.1,0.6,0.6,0.1,0.9,7.7,0,0,-1
430,Jeremy Evans,UTA,27,38,19,19,7,2.4,0.8,1.5,0.1,0.04,0.6,0.8,0.7,1.2,0.3,0.1,0.3,0.3,0.8,6.8,0,0,0.8
429,Victor Claver,POR,26,10,6,4,7.6,2.4,0.9,2,1.1,0.5995,0,0,0.3,1.7,0.1,0.4,0.1,0.1,1.2,5.2,0,0,2.1
428,Russ Smith,MEM,24,12,7,5,5.4,2.5,0.7,2.1,0.9,0.1638,1,1.1,0.1,0.4,0.7,1,0.3,0,1.1,3.9,0,0,1.8
427,JaMychal Green,MEM,25,24,10,14,6.8,2.6,1.1,2,0.3,0,0.3,0.4,0.8,1.1,0.2,0.6,0.2,0.2,1,5.8,0,0,-1
426,Nick Johnson,HOU,22,28,18,10,9.4,2.6,0.9,2.7,0.8,0.1904,0.6,0.9,0.5,0.9,0.4,0.7,0.3,0.1,1.2,5.3,0,0,-1.7
425,Malcolm Thomas,PHI,26,17,2,15,11.4,2.6,1.1,2.4,0.4,0,0.5,0.8,0.9,2.4,0.4,0.8,0.2,0.1,1,7.2,0,0,-6.4
424,Jeff Withey,NOP,25,37,17,20,7,2.6,0.9,1.7,0,0,0.9,1.4,0.6,1.1,0.3,0.3,0.1,0.5,0.7,6.6,0,0,-1.1
423,Jorge Gutierrez,MIL,26,20,10,10,8.7,2.7,1.1,2.1,0.2,0,0.5,0.7,0.3,1,1.1,0.6,0.3,0,1.3,6.1,0,0,-1.4
422,E'Twaun Moore,CHI,26,56,36,20,9,2.7,1.1,2.5,0.7,0.2394,0.2,0.4,0.2,0.6,0.6,0.3,0.4,0.1,0.8,5.7,0,0,-0.5
417,Clint Capela,HOU,21,12,8,4,7.5,2.7,1.2,2.4,0,0,0.3,1.9,0.8,2.2,0.2,0.4,0.1,0.8,1.2,8.6,0,0,0.7
417,David Stockton,SAC,24,3,1,2,11,2.7,0.7,2,0.7,0.35,1,2,0,0.7,3,1.3,0.7,0,0.3,8.6,0,0,7.7
417,Elton Brand,ATL,36,36,25,11,13.5,2.7,1.2,2.6,0,0,0.3,0.6,0.8,2,0.6,0.5,0.5,0.7,1.5,9.9,0,0,0.1
417,Joe Harris,CLE,23,51,32,19,9.7,2.7,0.9,2.4,1.6,0.5904,0.2,0.3,0.1,0.7,0.5,0.5,0.1,0,1.2,4.4,0,0,-2
417,Joey Dorsey,HOU,31,69,48,21,12.4,2.7,1.2,2.1,0,0,0.3,1.2,1.5,2.6,0.4,0.6,0.6,0.4,2.3,10.3,0,0,0.2
416,Jeff Ayres,SAS,28,51,33,18,7.5,2.7,1.1,1.9,0,0,0.5,0.7,0.7,1.6,0.3,0.5,0.2,0.2,1.2,6.3,0,0,-1.1
415,Earl Clark,BKN,27,10,6,4,9.3,2.7,1.1,3,1.4,0.4004,0.1,0.4,0.1,2.2,0.3,0.6,0.3,0.4,1.2,7.4,0,0,-2.8
414,Jordan Hamilton,LAC,24,14,10,4,8.7,2.7,1,2.5,1.5,714,0,0,0.1,1,0.5,0.3,0.1,0,1,5,0,0,-2.1
413,Bernard James,DAL,30,16,6,10,9.9,2.8,0.8,1.7,0,0,1.3,1.4,1.1,1.3,0.3,0.4,0.1,0.9,1.1,8.9,0,0,-0.6
412,Elliot Williams,PHI,26,13,6,7,9.1,2.8,1.1,2.8,1.4,0.6216,0.1,0.3,0,0.6,0.9,0.3,0.3,0,0.9,5.6,0,0,0.6
